lot_id,timestamp,d50,d90,metal_impurity,lithium_input,additive_ratio,process_time,sintering_temp,humidity,operator_id,tank_pressure,quality_defect
LOT-20251202-00000,2025-12-02 01:36:37.597638,4.249080237694725,8.051801964342264,0.025112464813329034,2.7683654810208473,0.14187917248643,56.605462856213144,831.9328648626774,5.717279749326426,OP_C,99.19977247147025,0
LOT-20251202-00001,2025-12-02 01:46:37.597638,5.401428612819832,10.465301395120315,0.033541068443434865,2.7621220981918224,0.14073666188624626,64.40032453708913,797.668702941243,7.864506082273466,OP_A,101.6300177085472,0
LOT-20251202-00002,2025-12-02 01:56:37.597638,4.96398788362281,10.044621440324734,0.03871022634382409,1.769785136571334,0.14758266836416473,86.15195896934839,848.9155859376687,4.802577740738232,OP_B,93.41793343507514,0
LOT-20251202-00003,2025-12-02 02:06:37.597638,4.697316968394073,9.042471938896337,0.020072740409041313,1.908520186824018,0.1576304542591105,82.21499828372043,767.1333179285332,4.295099952768867,OP_C,101.47456375995866,0
LOT-20251202-00004,2025-12-02 02:16:37.597638,3.812037280884873,7.957864853330737,0.020807519249604903,1.5368266342515795,0.13959787732654716,76.45928526316258,829.9584144525181,2.450488178842114,OP_A,103.60475232806616,0
LOT-20251202-00005,2025-12-02 02:26:37.597638,3.8119890406724055,7.60264199409571,0.048037374734899246,1.2229539999033687,0.14633616157722212,88.71128711293503,807.099993287578,8.34010021080548,OP_B,103.01080614966547,0
LOT-20251202-00006,2025-12-02 02:36:37.597638,3.616167224336399,7.258012859856156,0.024759994148993193,2.3490680290170536,0.15159823720717908,72.93746706850042,813.0036309859769,6.437654595351649,OP_B,104.4784691698968,0
LOT-20251202-00007,2025-12-02 02:46:37.597638,5.23235229154987,10.381192692817372,0.029696064406211933,2.5400948722695764,0.13959485422265291,57.051125175939696,761.4958710883249,7.614589861743014,OP_B,101.62435386356667,0
LOT-20251202-00008,2025-12-02 02:56:37.597638,4.702230023486417,9.636314398535951,0.018791522827999344,2.684188354448587,0.13884980278401646,78.54460610287616,795.4037473010229,3.87025166423824,OP_B,101.93994362048018,0
LOT-20251202-00009,2025-12-02 03:06:37.597638,4.9161451555920905,10.067238277517284,0.020395878060823287,2.783517124039351,0.13888406822994998,73.67659911531915,767.4620980963836,1.465930174755944,OP_A,96.41831076106429,0
